id,location_category,golf_name,golf_address,golf_scale,golf_holes,golf_latitude,golf_longitude
63,경기,남양주파크골프장,경기도 남양주시 다산동739 다산근린공원 앞 왕숙천,,18,37.5970430,127.1610717
64,경북,남울진파크골프장,울진군 평해읍 평해리 548-4,,9,36.7219658,129.4411456
65,전북,남원파크골프장,전라북도 남원시 춘향골 체육공원내,,18,000,000
66,경남,남해파크골프장,경상남도 남해군 서면 스포츠파크길 15 남해스포츠파크 내,,18,34.8063611,127.8385748
67,강원,녹송파크골프장,강원도 정선군 정선읍 봉양리37-3,,18,37.3839269,128.6687854
68,대구,논공 위천파크골프장,대구광역시 달성군 논공읍 위천리 646,,18,35.7512713,128.3946449
69,충남,논산시파크골프장,충청남도 논산시 대교동 319-39번지,,9,36.2119499,127.0866162
70,대구,다사파크골프장,대구광역시 달성군 다사읍 매곡리 344-3 금호강변 세천교 밑,,36,35.8658447,128.4666832
71,경북,다산파크골프장,경상북도 고령군 다산면 호촌리 30,,18,35.8254990,128.4733587
72,경북,다인문암파크골프장,경상북도 의성군 다인면 삼분2길259,,9,36.4232764,128.4054101
73,경북,단북파크골프장,경상북도 의성군 단북면 당북다인로 168,,9,000,000
74,경남,단성(묵곡)파크골프장,경상남도 산청군 단성면 묵곡 생태숲(겁외사),,18,000,000
75,충북,단양파크골프장,충청북도 단양군 단양읍 별곡리 92 단양생태체육공원 내,,18,36.9917854,128.3635499
76,대구,달서 강창파크골프장,대구광역시 달서구 파호동 401-2,,27,35.8459367,128.4720714
77,대구,달성보파크골프장,대구광역시 달성군 논공읍 남리 1 (달성보 하류),,18,35.7344664,128.4219956
78,전남,담양 제1파크골프장,전남 담양군 담양읍 양각샛길 207,,36,000,000
79,전남,담양 제2파크골프장,전라남도 담양군 담양읍 양각리 348-135,,18,35.3170413,126.9682865
80,충남,당진해나루파크골프장,충청남도 당진시 석문면 통정리 1349,,36,36.9937882,126.5906873
81,경북,대가야파크골프장,경상북도 고령군 대가야읍 장기리 121,,18,35.7256712,128.2773351
82,광주,대상파크골프장,광주광역시 북구 월출동 968,,9,35.2340458,126.8670984
83,충북,대소원파크골프장,충청북도 충주시 대소원면 새터2길 29-15,,18,36.9780864,127.8157248
84,경남,대원파크골프장,경상남도 창원시 의창구 두대로 46 대상공원내,,9,000,000
85,부산,대저생태공원파크골프장,부산광역시 강서구 대저1동 1-5 대저생태공원,,18,35.2074142,128.9847474
86,부산,대저생태공원파크골프장,부산광역시 강서구 대저1동 1-5 대저생태공원,,27,35.2074142,128.9847474
87,강원,대화파크골프장,강원도 평창군 대화면 하원동길 25 평창군환경센타,,18,37.4839194,128.4599233
88,경북,덕산파크골프장,경상북도 칠곡군 약목면 덕산리 348-7,,9,36.0349703,128.4011216
89,광주,덕흥파크골프장,광주광역시 서구 덕흥동 157,,9,35.1773128,126.8407150
90,경북,도개파크골프장,경상북도 구미시 도개면 궁기리 829-1,,36,36.2957054,128.3309101
91,충남,도고파크골프장,충청남도 아산시 도고면 신언리 826,,9,36.7567354,126.8712377
92,경남,도동파크골프장,경상남도 진주시 초전동,,9,35.206,128.1168
93,경남,도천파크골프장,경상남도 창녕군 도천면 도천리 770,,18,35.4235855,128.5135271
94,대구,동구 봉무동 파크골프장,대구광역시 동구 봉무동 1097-5 빗물펌프장(금호강변) 인근,,36,35.9271295,128.6325115
95,대구,동구도평파크골프장,대구광역시 동구 도동 ,,9,35.9258,128.6669
96,서울,동대문구중량천 파크골프장,서울특별시 동대문구 장안동 (군자교 다리 밑),,9,000,000
97,경기,동두천파크골프장,경기도 동두천시 동두천로27 송내주공5단지,,9,37.8841180,127.0534429
98,경기,동두천파크골프장,경기도 동두천시 송내동 696,,18,37.8846775,127.0523498
99,경북,동락파크골프장,경상북도 구미시 진평동 880,,36,36.0947155,128.4013525
100,경남,동부5개면파크골프장,경상남도 진주시 사봉면 사군로 583,,18,35.1958776,128.3061146
101,경남,동부권파크골프장,경상남도 적중면 상부리242,,18,35.5424837,128.2793573
102,울산,동천 파크골프장,울산광역시 중구 남외동 508-1,,27,35.5638242,129.3512660
103,경기,동탄제2신도시파크골프장,경기도 화성시 동탄면 방교동789,,18,000,000
104,강원,동해시파크골프장,강원도 동해시 동해대로6314 망상컨멘션센타 옆,,27,37.5960057,129.0845434
105,강원,둔내우용파크골프장,강원도 횡성군 둔내면 우용리 395-1,,9,37.5003616,128.2105831
106,강원,둔내파크골프장,강원도 횡성군 둔내면 둔방내리 563-3,,9,37.5065127,128.2107293
107,전북,둔산파크골프장,전라북도 완주군 봉동읍 둔산리 881,,18,35.9624486,127.1286694
108,충남,둔포파크골프장,아산시 둔포면 석곡리 1480,,9,36.9229792,127.0624751
109,제주,렛츠런파크골프장,제주특별자치도 제주시 애월읍 유수암리 1206,,18,33.4074880,126.3986213
110,경남,마사파크골프장,경상남도 김해시 한림면 생림면마사리915-7 ,,36,000,000
111,전북,마전교파크골프장,전라북도 전주시 완산구 서신동 738-7,,18,35.8260027,127.1120058
112,경남,모고파크골프장,경상남도 산청군 산청읍 모고리,,9,35.4372,127.8968
113,광주,무등산파크골프장,동구 남문로 418-13,,9,35.1095264,126.9379845
114,전남,무안파크골프장,전남 무안군 무안읍 성동리 1086-3,,18,34.9939987,126.4772008
115,경남,무안파크골프장,경상남도 밀양시 무안면 신법리 262-2,,9,35.4784176,128.6573279
116,전북,무주파크골프장,전라북도 무주군 설천면 상평지길 20 무주복지공원 내,,6,36.0090432,127.7906161
117,대구,무태파크골프장,대구광역시 북구 서변동 산격대교 밑,,18,000,000
118,충남,무한천파크골프장,충청남도 예산군 예산읍 주교리 460,,36,36.6820958,126.8223402
119,경북,문경파크골프장,경상북도 문경시 창리강길45,,45,000,000
120,강원,문막파크골프장,강원도 원주시 문막면 문막리 1071-71,,36,000,000
121,경기,미사리파크골프장,경기도 하남시 미사동608,,9,37.5821058,127.1961464
122,경남,밀양파크골프장,경상남도 밀양시 삼문동 631번지,,45,35.4826595,128.7425466
123,충남,백세파크골프장,충청남도 청양군 청양읍 은천동길 16-6 백세공원 내,,18,36.4431837,126.7995845
124,대전,버드내-태평파크골프장,대전광역시 중구 태평동515-2(가장교-태평교),,9,36.3263246,127.3896469
125,경북,벽진면파크골프장,경상북도 성주군 벽진면 체육공원,,9,000,000
126,경북,병곡파크골프장,경상북도 영덕군 병곡면 송천리 434-1,,36,36.5537641,129.4171095
127,충남,보령파크골프구장,충청남도 보령시 웅천읍 오천리 534-1,,18,000,000
128,전남,보성미니파크골프장,전라남도 보성군 용문길 36-16,,9,34.7750537,127.0958233
129,전남,복내파크골프장,전남 보성군 복내리 536-16,,18,34.8935663,127.1358987
130,경남,봉산파크골프장,봉산면 서부로 4344-11,,9,35.6277091,128.0443549
131,강원,봉평파크골프장,강원도 평창군 봉평면 덕거리 369-2,,18,37.6373625,128.3949040
132,경북,봉화파크골프장,경상북도 봉화군 봉화읍 내성리 내성천 둔치,,9,000,000
133,세종,부강파크골프장,세종특별자치시 부강면 금호리 82 부강생활체육공원내,,16,36.5125283,127.3696397
134,세종,부강파크골프장,세종특별자치시 부강면 금호리 82 부강생활체육공원내,,16,36.5125283,127.3696397
135,충남,부여파크골프장,충청남도 부여군 부여읍 군수리 268-3,,36,36.2740229,126.8984579
136,전남,부주산국제파크골프장,전남 목포시 부주로 159,,27,34.8186270,126.4435094
137,대구,북구검단파크골프장,대구광역시 북구 검단동 276,,27,35.9251335,128.6208016
138,광주,북구파크골프장,광주광역시 북구 연제동 730번지(북구종합운동장내),,0,35.2003582,126.8559937
139,경남,북부권파크골프장,경상남도 합천군 야로면 월광리388-1,,18,35.7342587,128.1544033
140,강원,북평파크골프장,강원도 정선군 북평면 북평리149-1,,18,37.4495116,128.6752683
141,전남,북항파크골프장,전남 목포시 북항 하수종말처리장,,9,000,000
142,전남,불갑파크골프장,전남 영광군 불갑면 방마리,,18,35.2171,126.5216
143,대구,불로파크골프장,대구광역시 동구 불로동 866-2,,27,35.9061338,128.6310846
144,전북,비봉파크골프장,전라북도 완주군 비봉면 소농리454 비봉면체육공원 내,,9,35.9928188,127.1398810
145,전북,비비정파크골프장,전라북도 완주군 삼례읍 후정리142-1 비비정공원 내,,9,35.9011068,127.0644620
146,대구,비산파크골프장A-B,대구광역시 서구 비산동 2127(매천대교 밑),,18,35.8938814,128.5461073
147,대구,비산파크골프장C-D,대구광역시 서구 비산동 2127(매천대교 밑),,18,35.8938814,128.5461073
148,경북,비안파크골프장,경상북도 의성군 비안면 이두리 이두교,,18,000,000
149,경남,사봉파크골프장,경상남도 진주시 사봉면 사군로 583,,18,35.1958776,128.3061146
150,부산,사암파크골프장,부산광역시 강서구 신호공단 내 ,,9,000,000
151,전남,산이파크골프장,전남 해남군 산이면 초두길 10-14,,18,34.6461767,126.4483242
152,경남,산청(모고)파크골프장,경상남도 산청군 시천면 사리 900-48,,18,35.2749009,127.8474199
153,부산,삼락18파크골프장,부산시 사상구 삼락동 658-1,,9,000,000
154,부산,삼락9&9파크골프장,부산시 사상구 삼락동 658-1,,18,000,000
155,부산,삼락다이나믹파크골프장,부산광역시 사상구 삼락동 431-752번지,,36,000,000
156,경남,삼량진파크골프장,경상남도 밀양시 삼량진읍 송지리 456-6,,9,000,000
157,강원,삼척시미로파크골프장,강원도 삼척시 미로면 강변 고수부지,,9,000,000
158,전남,삼학도파크골프장,전남 목포시 산정동 삼하도,,9,000,000
159,전남,삼호대불파크골프장,전남 영암군 삼호읍  종합공원길11,,36,34.7597333,126.4549483
160,충남,삽교파크골프구장,충청남도 당진시 신평면 삽교호 호수공원내,,9,000,000
161,전북,상관파크골프장,전라북도 완주군 상관면 신리 916,,18,35.7645454,127.2143708
162,전남,상동파크골프장,전라남도 목포시 상동 1045번지,,9,34.8126821,126.4193340
163,경남,상락원파크골프장,경상남도 진주시 판문오동길115번길62-33,,6,35.1846596,128.0321233
164,충남,상록파크골프구장,충청남도 당진시 송악읍 두곡공단로,,18,000,000
165,전남,상사파크골프장,순천시 상사면 응령리 678-7,,13,34.9382741,127.4536108
166,경북,상주파크골프장,경상북도 상주시 병성천2길44,,27,36.4229825,128.1917970
167,경남,상평파크골프장,경상남도 진주시 상평동,,9,35.176151,128.109087
168,전북,생강골파크골프장,전라북도 완주군 봉동읍 낙평리 795,,27,35.9311772,127.1591503
169,경남,생비량파크골프장,경상남도 산청군 생비량면 가계리 939-2 생활체육공원내,,9,35.3642359,128.0643201
170,경남,생초파크골프장,경상남도 산청군 생초면 어서리,,9,35.4951,127.8332
171,서울,서남물재생센터공원파크골프장,서울특별시 강서구 양천로 201 서남물재생센터,,9,37.5758136,126.8319874
172,전남,서면파크골프장,전남 순천시 서면 강청리 828,,9,000,000
173,충남,서산나이스파크골프장,충청남도 서산시 음암면 바위백이길 12,,18,36.7912477,126.5240000
174,충남,서산시파크골프장,충청남도 서산시 양대동 753-4,,36,36.7402493,126.4654828
175,경북,서의성파크골프장,경상북도 의성군 안계면 서보안계로 1907,,27,000,000
176,대구,서재파크골프장,대구광역시 달성군 다사읍 다사로 822(방천리 환경자원사업소),,18,35.8785219,128.5093226
177,경기,서종파크골프장,경기도 양평군 서종면 문호리922-4 서종문화체육공원 내,,9,37.5928503,127.3487356
178,충남,서천군노인복지관파크골프장,충청남도 서천군 종천면 충서로302번길 88-26,,18,36.1107856,126.6566468
179,전남,서해파크골프장,전라남도 목포시 연산동 825-2,,9,34.8137216,126.3789389
180,경북,석적파크골프장,경상북도 칠곡군 석적읍 남율리 403,,36,36.0574253,128.4005468
181,경북,선남면파크골프장,경상북도 경북 성주군 선남면 관화리 714 체육공원 내,,18,000,000
182,경북,선산파크골프장,경상북도 구미시 선산읍 원리1057-26,,36,36.2225065,128.3491382
183,인천,선학파크골프장,인천광역시 연수구 경원대로 526,,9,37.4309078,126.7018293
184,경남,섬진강피크닉광장파크골프장,경상남도 하동군 고전면 전도리 882-3,,18,34.9972660,127.7845478
185,경기,성남시파크골프장,경기도 성남시 분당구 수내동 탄천변,,9,000,000
